"","UWI","SURFX","SURFY","DATE","INJ","cum_inj","tol_inj","CUMU_INJ"
"310","42221311090000",1889924.386,237269.3924,2010-06-01,406175,8510334,25341123,11806317
"311","42221311090000",1889924.386,237269.3924,2010-07-01,438867,8949201,25341123,13014429
"312","42221311090000",1889924.386,237269.3924,2010-08-01,391419,9340620,25341123,12894731
"313","42221311090000",1889924.386,237269.3924,2010-09-01,410371,9750991,25341123,13014299
"314","42221311090000",1889924.386,237269.3924,2010-10-01,338545,10089536,25341123,11689154
"315","42221311090000",1889924.386,237269.3924,2010-11-01,354252,10443788,25341123,11954124
"316","42221311090000",1889924.386,237269.3924,2010-12-01,390604,10834392,25341123,12386935
"317","42221311090000",1889924.386,237269.3924,2011-01-01,448451,11282843,25341123,12491622
"318","42221311090000",1889924.386,237269.3924,2011-02-01,322053,11604896,25341123,10744516
"319","42221311090000",1889924.386,237269.3924,2011-03-01,532373,12137269,25341123,13585658
"320","42221311090000",1889924.386,237269.3924,2011-04-01,453665,12590934,25341123,13823700
